room_type,host_acceptance_rate,price,availability_365,review_scores_rating,review_scores_cleanliness,review_scores_communication,number_of_reviews
1,0.98,205.00,259.00,4.85,4.82,4.92,113
2,0.99,119.00,185.00,4.22,4.04,4.57,55
1,0.92,185.00,311.00,4.92,4.94,4.98,187
1,0.40,350.00,342.00,4.74,4.74,4.84,19
1,0.40,250.00,275.00,4.71,4.93,4.9,31
1,0.93,357.00,213.00,4.84,4.84,4.91,56
1,0.94,109.00,324.00,4.66,4.7,4.88,164
1,0.89,119.00,363.00,4.63,4.78,4.83,46
1,0.99,223.00,342.00,4.82,4.86,4.94,738
1,0.83,110.00,69.00,4.84,4.91,4.97,86
1,1.00,214.00,335.00,4.86,4.9,5,51
2,0.11,150.00,365.00,4.29,4.47,4.71,17
1,1.00,380.00,267.00,4.73,4.32,4.68,22
1,1.00,232.00,349.00,4.83,4.93,4.95,43
1,0.96,200.00,106.00,4.84,4.92,4.9,51
1,1.00,222.00,344.00,4.78,4.88,4.88,32
1,0.97,160.00,310.00,4.91,4.82,4.9,198
1,0.92,66.00,266.00,4,4.18,4.45,11
2,0.92,55.00,0.00,4.91,4.9,4.98,88
1,1.00,249.00,342.00,4.95,5,4.9,20
1,0.77,450.00,198.00,4.93,4.66,4.91,93
2,1.00,250.00,88.00,4.59,4.76,4.76,17
1,0.89,146.00,341.00,4.75,4.73,4.94,605
2,0.90,125.00,0.00,4.8,4.6,5,5
2,0.90,65.00,26.00,4.92,4.94,4.99,243
1,1.00,185.00,145.00,4.93,4.88,4.98,164
1,0.98,382.00,315.00,4.83,4.69,4.92,103
1,1.00,245.00,174.00,4.95,4.9,4.99,215
1,0.93,625.00,238.00,4.62,4.46,4.78,47
1,0.82,132.00,183.00,4.94,4.94,4.97,140
1,1.00,399.00,14.00,4.78,4.57,4.93,90
1,1.00,75.00,142.00,4.83,4.91,4.91,12
1,1.00,146.00,325.00,4.93,4.92,4.96,114
1,0.98,110.00,175.00,4.71,4.81,4.96,28
2,0.69,69.00,265.00,4.91,4.93,4.9,45
1,1.00,325.00,156.00,4.94,4.98,4.99,242
1,1.00,495.00,72.00,4.89,4.87,4.91,248
1,0.99,172.00,137.00,4.85,4.81,4.87,164
1,1.00,100.00,46.00,4.71,4.51,4.89,35
1,1.00,129.00,29.00,4.91,4.98,5,47
1,1.00,500.00,86.00,4.87,4.3,4.92,135
1,0.00,90.00,0.00,4.93,4.98,4.92,107
2,1.00,123.00,221.00,4.92,4.92,4.96,463
1,1.00,150.00,2.00,4.85,4.74,4.89,141
2,0.64,39.00,266.00,4.7,5,4.97,37
2,0.92,60.00,265.00,5,4.83,5,7
1,0.92,80.00,226.00,4.94,4.98,4.97,182
1,0.82,122.00,100.00,4.69,4.72,4.92,64
2,0.86,35.00,171.00,4.42,3.91,4.67,33
1,0.85,182.00,83.00,4.84,4.85,4.95,186
1,0.88,95.00,0.00,4.81,4.81,4.98,48
2,0.88,67.00,288.00,4.83,4.71,4.94,90
1,0.33,220.00,159.00,5,5,5,9
1,1.00,185.00,172.00,4.86,4.85,4.93,236
1,1.00,130.00,268.00,4.94,4.97,4.99,520
1,0.88,275.00,359.00,4.83,4.88,4.91,0
1,0.95,250.00,322.00,4.83,4.88,4.91,66
1,0.91,125.00,114.00,4.93,4.77,4.98,109
1,1.00,437.00,146.00,4.9,4.9,4.98,236
1,0.28,438.00,360.00,4.64,4.93,4.83,76
1,0.95,158.00,207.00,4.84,4.88,4.94,0
1,0.95,361.00,335.00,4.84,4.88,4.94,222
2,1.00,99.00,171.00,4.35,4.36,4.55,159
1,0.99,79.00,313.00,4.86,4.95,4.91,301
1,1.00,140.00,186.00,4.96,4.96,5,102
2,0.71,305.00,299.00,4.79,4.9,4.96,68
1,1.00,137.00,180.00,4.95,4.93,4.95,153
1,0.98,160.00,0.00,4.84,4.76,4.88,25
1,0.98,90.00,175.00,4.74,4.77,4.96,27
1,1.00,111.00,189.00,4.91,4.98,4.97,247
1,0.98,88.00,2.00,4.73,4.93,4.64,15
1,1.00,250.00,212.00,4.98,5,5,52
1,0.99,273.00,78.00,4.78,4.82,4.93,702
1,1.00,400.00,292.00,4.86,4.71,5,21
1,1.00,225.00,0.00,4.81,4.74,4.9,42
1,0.97,195.00,192.00,4.72,4.91,4.98,82
1,0.93,118.00,0.00,4.95,4.95,4.89,19
2,0.79,125.00,197.00,4.81,4.81,4.81,37
2,0.79,118.00,197.00,4.86,4.93,4.91,59
2,0.93,225.00,95.00,4.93,4.99,4.98,86
1,0.89,232.00,337.00,4.8,4.67,4.92,475
1,1.00,469.00,169.00,4.4,5,4.67,5
1,0.96,233.00,75.00,4.9,4.96,4.94,127
1,0.71,394.00,0.00,5,4.98,4.99,97
1,1.00,450.00,353.00,4.86,4.95,4.73,24
1,0.95,100.00,5.00,4.95,4.99,4.98,88
1,1.00,90.00,3.00,4.86,4.93,4.86,15
1,1.00,142.00,180.00,4.91,4.98,4.9,93
1,0.16,598.00,365.00,4.67,5,5,7
1,1.00,180.00,333.00,4.94,4.97,4.98,62
1,0.00,350.00,3.00,4.82,4.71,4.99,82
2,0.92,55.00,0.00,4.88,4.93,4.93,225
2,0.92,65.00,1.00,4.96,4.9,5,77
1,0.93,200.00,1.00,4.71,4.8,4.85,24
2,0.64,39.00,194.00,4.81,4.9,4.95,21
